SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 05-May-2026, 104.60, 104.00, 104.60, 104.00, 104.60, 104.60, 104.30, 2028, 2.12, 3, 2028, 100.00
20MICRONS, EQ, 05-May-2026, 179.21, 176.70, 181.50, 176.70, 179.00, 180.25, 179.87, 40674, 73.16, 1051, 23482, 57.73
21STCENMGM, EQ, 05-May-2026, 36.69, 36.69, 36.69, 35.96, 35.96, 35.96, 36.00, 1776, 0.64, 39, 1720, 96.85
360ONE, EQ, 05-May-2026, 1066.50, 1065.60, 1085.60, 1050.50, 1069.50, 1070.70, 1069.08, 1750453, 18713.77, 37926, 1023490, 58.47
3BBLACKBIO, EQ, 05-May-2026, 1258.50, 1259.80, 1294.10, 1220.10, 1294.10, 1283.00, 1264.83, 7486, 94.69, 780, 6109, 81.61
3IINFOLTD, EQ, 05-May-2026, 17.33, 17.50, 17.50, 17.00, 17.20, 17.08, 17.20, 150465, 25.89, 1052, 88821, 59.03
3MINDIA, EQ, 05-May-2026, 33080.00, 32890.00, 33115.00, 32370.00, 32460.00, 32425.00, 32570.86, 2636, 858.57, 1542, 1205, 45.71
3PLAND, EQ, 05-May-2026, 34.25, 34.25, 35.00, 33.87, 34.40, 34.48, 34.70, 2713, 0.94, 104, 2545, 93.81
574GS2026, GS, 05-May-2026, 101.97, 101.97, 101.97, 101.97, 101.97, 101.97, 101.97, 7, 0.01, 1, 7, 100.00
579GS2030, GS, 05-May-2026, 97.15, 99.84, 99.84, 96.66, 97.15, 97.15, 97.88, 3, 0.00, 3, 1, 33.33
5PAISA, EQ, 05-May-2026, 336.40, 337.85, 337.90, 330.00, 337.00, 333.30, 333.63, 27259, 90.94, 1421, 10965, 40.23
601GS2028, GS, 05-May-2026, 98.77, 98.80, 98.80, 98.80, 98.80, 98.80, 98.80, 20, 0.02, 1, 20, 100.00
610GS2031, GS, 05-May-2026, 101.00, 99.00, 102.00, 99.00, 102.00, 102.00, 99.60, 5, 0.00, 2, 5, 100.00
628GS2032, GS, 05-May-2026, 97.71, 98.65, 98.65, 98.65, 98.65, 98.65, 98.65, 5000, 4.93, 1, 5000, 100.00
633GS2035, GS, 05-May-2026, 98.50, 98.50, 98.50, 98.50, 98.50, 98.50, 98.50, 100, 0.10, 1, 100, 100.00
63MOONS, EQ, 05-May-2026, 746.25, 745.00, 746.00, 726.50, 732.00, 733.75, 734.22, 56737, 416.57, 2641, 22171, 39.08
648GS2035, GS, 05-May-2026, 98.00, 98.00, 98.20, 97.20, 98.20, 97.74, 97.74, 3130, 3.06, 4, 3130, 100.00
668GS2040, GS, 05-May-2026, 97.00, 97.00, 97.00, 96.12, 96.70, 96.70, 96.65, 5106, 4.94, 16, 5106, 100.00
676GS2061, GS, 05-May-2026, 90.02, 91.80, 91.80, 90.25, 91.30, 91.22, 90.86, 9959, 9.05, 29, 9959, 100.00
679GS2034, GS, 05-May-2026, 99.70, 99.80, 100.00, 99.80, 100.00, 99.97, 99.97, 24300, 24.29, 13, 24300, 100.00
